section_id,course_id,term_id,section_number,capacity,instructor_name
1,24,1,1,94,Michael Rodriguez
2,24,2,1,99,Jane Miller
3,24,2,2,94,James Miller
4,24,2,3,89,David Martinez
5,24,3,1,90,Ashley Rodriguez
6,24,4,1,99,Jessica Brown
7,24,5,1,94,William Garcia
8,24,6,1,98,Sarah Miller
9,24,6,2,97,Ashley Martinez
10,24,6,3,99,James Rodriguez
11,24,7,1,89,Michael Jones
12,24,7,2,93,Emily Garcia
13,24,7,3,89,Michael Williams
14,24,8,1,95,Jane Williams
15,24,9,1,89,Jane Lopez
16,24,10,1,95,Robert Davis
17,170,1,1,110,David Lopez
18,170,2,1,114,Ashley Johnson
19,170,3,1,107,Michael Martinez
20,170,4,1,109,Jessica Hernandez
21,170,4,2,111,Jessica Martinez
22,170,5,1,109,Sarah Rodriguez
23,170,6,1,106,David Hernandez
24,170,6,2,115,Ashley Davis
25,170,6,3,113,James Jones
26,170,7,1,114,John Smith
27,170,7,2,108,David Brown
28,170,7,3,107,David Jones
29,170,8,1,105,Jessica Lopez
30,170,9,1,107,Robert Rodriguez
31,170,10,1,113,William Hernandez
32,55,1,1,96,Robert Lopez
33,55,2,1,102,Jane Garcia
34,55,2,2,104,Robert Martinez
35,55,3,1,105,Robert Jones
36,55,4,1,100,Michael Martinez
37,55,4,2,102,Amanda Garcia
38,55,5,1,98,Robert Martinez
39,55,5,2,101,William Johnson
40,55,6,1,99,Amanda Garcia
41,55,7,1,97,Jane Rodriguez
42,55,8,1,103,William Brown
43,55,9,1,100,Emily Lopez
44,55,10,1,105,Michael Brown
45,165,1,1,42,Michael Martinez
46,165,1,2,41,James Johnson
47,165,1,3,41,James Davis
48,165,2,1,48,Ashley Davis
49,165,3,1,48,James Hernandez
50,165,4,1,44,James Garcia
51,165,5,1,46,Jessica Hernandez
52,165,5,2,43,David Martinez
53,165,6,1,43,Jessica Davis
54,165,6,2,39,John Garcia
55,165,7,1,40,James Johnson
56,165,8,1,47,Robert Davis
57,165,9,1,39,Jessica Martinez
58,165,10,1,44,Ashley Davis
59,164,1,1,41,Jessica Johnson
60,164,2,1,46,Amanda Johnson
61,164,3,1,43,John Brown
62,164,4,1,48,William Rodriguez
63,164,5,1,46,Emily Jones
64,164,6,1,46,James Martinez
65,164,7,1,42,Emily Johnson
66,164,7,2,49,James Miller
67,164,7,3,45,David Lopez
68,164,8,1,50,Michael Garcia
69,164,9,1,46,David Hernandez
70,164,9,2,51,Robert Williams
71,164,10,1,42,David Rodriguez
72,153,1,1,23,Michael Hernandez
73,153,2,1,28,William Johnson
74,153,3,1,24,William Garcia
75,153,4,1,20,Sarah Garcia
76,153,4,2,25,Sarah Brown
77,153,4,3,20,Michael Johnson
78,153,5,1,19,William Rodriguez
79,153,6,1,26,John Hernandez
80,153,7,1,27,Michael Martinez
81,153,8,1,20,Michael Lopez
82,153,9,1,20,Amanda Davis
83,153,10,1,28,Amanda Brown
84,153,10,2,25,Ashley Jones
85,153,10,3,25,Sarah Rodriguez
86,6,1,1,77,Sarah Garcia
87,6,2,1,79,Jessica Davis
88,6,3,1,76,William Rodriguez
89,6,4,1,72,Sarah Martinez
90,6,5,1,70,James Davis
91,6,5,2,75,William Johnson
92,6,5,3,78,Jane Jones
93,6,6,1,74,Jessica Rodriguez
94,6,6,2,72,Robert Johnson
95,6,7,1,73,Jessica Garcia
96,6,8,1,76,John Miller
97,6,9,1,73,Robert Johnson
98,6,10,1,70,Emily Johnson
99,13,1,1,142,Emily Williams
100,13,2,1,139,Amanda Williams
101,13,2,2,139,Jessica Martinez
102,13,2,3,132,Jane Smith
103,13,3,1,134,William Lopez
104,13,4,1,138,Jane Jones
105,13,5,1,133,John Brown
106,13,6,1,141,Jessica Johnson
107,13,7,1,141,William Smith
108,13,7,2,142,William Martinez
109,13,7,3,135,Amanda Williams
110,13,8,1,132,Ashley Garcia
111,13,9,1,138,Michael Hernandez
112,13,10,1,140,Emily Johnson
113,86,1,1,29,William Rodriguez
114,86,2,1,27,Jessica Smith
115,86,3,1,26,David Lopez
116,86,4,1,26,Sarah Lopez
117,86,4,2,31,James Johnson
118,86,5,1,26,Michael Smith
119,86,6,1,26,James Williams
120,86,7,1,31,Jessica Lopez
121,86,8,1,23,Michael Johnson
122,86,9,1,28,John Jones
123,86,10,1,24,John Garcia
124,63,1,1,52,Robert Rodriguez
125,63,2,1,44,James Brown
126,63,3,1,44,James Garcia
127,63,4,1,49,Robert Miller
128,63,5,1,50,Emily Williams
129,63,6,1,51,Emily Rodriguez
130,63,7,1,45,Amanda Miller
131,63,8,1,52,David Garcia
132,63,8,2,45,Jane Garcia
133,63,9,1,48,Jessica Martinez
134,63,10,1,46,Amanda Davis
135,33,1,1,11,Amanda Garcia
136,33,2,1,17,David Hernandez
137,33,3,1,11,Jane Hernandez
138,33,4,1,16,William Lopez
139,33,5,1,11,Michael Martinez
140,33,6,1,18,John Williams
141,33,7,1,16,Robert Martinez
142,33,7,2,11,Ashley Williams
143,33,7,3,21,Jessica Garcia
144,33,8,1,12,Ashley Williams
145,33,9,1,17,Emily Hernandez
146,33,10,1,12,John Lopez
147,145,1,1,59,Jane Jones
148,145,1,2,55,Amanda Davis
149,145,1,3,54,Ashley Jones
150,145,2,1,58,Sarah Johnson
151,145,3,1,58,Michael Lopez
152,145,3,2,58,Jane Hernandez
153,145,4,1,56,James Garcia
154,145,5,1,59,William Jones
155,145,6,1,53,Amanda Lopez
156,145,7,1,61,Michael Garcia
157,145,8,1,52,Sarah Williams
158,145,9,1,58,John Garcia
159,145,10,1,56,Jessica Rodriguez
160,53,1,1,95,David Miller
161,53,1,2,101,William Miller
162,53,2,1,103,Jane Williams
163,53,3,1,104,Jane Davis
164,53,4,1,102,Emily Williams
165,53,5,1,102,James Martinez
166,53,6,1,100,William Smith
167,53,6,2,95,William Williams
168,53,7,1,96,Emily Lopez
169,53,8,1,102,David Johnson
170,53,9,1,104,William Jones
171,53,10,1,103,William Johnson
172,53,10,2,102,James Williams
173,53,10,3,103,Ashley Williams
174,18,1,1,144,John Smith
175,18,1,2,136,John Hernandez
176,18,1,3,144,David Hernandez
177,18,2,1,144,Robert Martinez
178,18,3,1,142,James Rodriguez
179,18,4,1,139,Jessica Brown
180,18,5,1,145,Robert Jones
181,18,6,1,135,Michael Davis
182,18,7,1,142,Sarah Garcia
183,18,8,1,140,Amanda Garcia
184,18,9,1,140,Robert Williams
185,18,10,1,143,William Johnson
186,142,1,1,40,Jane Jones
187,142,2,1,35,Jane Smith
188,142,3,1,39,Ashley Miller
189,142,4,1,35,Emily Martinez
190,142,5,1,36,Michael Davis
191,142,6,1,40,Jessica Jones
192,142,7,1,34,Robert Rodriguez
193,142,8,1,36,Sarah Martinez
194,142,9,1,33,David Davis
195,142,10,1,43,James Davis
196,54,1,1,144,Jane Miller
197,54,2,1,149,Robert Garcia
198,54,2,2,144,Robert Smith
